🕘️更新时间,#genre#
TVBS Asia (1080p),http://192.168.88.16:8080/hls/-4434178451739465718.m3u8
TVBS亚洲,http://192.168.88.16:8080/hls/-4156382099909590786.m3u8
民视新闻,http://192.168.88.16:8080/hls/-4557574158459083141.m3u8
唯心電視 (480p),http://192.168.88.16:8080/hls/9194279157826022723.m3u8
台视,http://192.168.88.16:8080/hls/-4905432535761701030.m3u8
大立电视,http://192.168.88.16:8080/hls/-5743772244429174777.m3u8
东森美洲,http://192.168.88.16:8080/hls/-7754167042394306501.m3u8
ABC News (720p),http://192.168.88.16:8080/hls/-2076344030148394713.m3u8
ABC News (720p),http://192.168.88.16:8080/hls/8366948182102320560.m3u8
ABC News Live (1080p) [Geo-blocked],http://192.168.88.16:8080/hls/-4366948071182841227.m3u8
ABC News Live 6 (720p),http://192.168.88.16:8080/hls/-3422514636334652923.m3u8
ABC News Live 7 (720p),http://192.168.88.16:8080/hls/-3519731267115693252.m3u8
ABC News Live 8 (720p),http://192.168.88.16:8080/hls/5315332504279700872.m3u8
ABC News Live 9 (720p),http://192.168.88.16:8080/hls/2047305977508326916.m3u8
ABC News Live 10 (720p),http://192.168.88.16:8080/hls/1578081156661351026.m3u8
CBS News Baltimore (720p),http://192.168.88.16:8080/hls/1459264428702562717.m3u8
CBS News Miami (720p),http://192.168.88.16:8080/hls/2543300537141120233.m3u8
CBS News Philadelphia (720p),http://192.168.88.16:8080/hls/1573858806541786716.m3u8
CBS News Sacramento (720p),http://192.168.88.16:8080/hls/-602063630412958050.m3u8
CBS News Texas (720p),http://192.168.88.16:8080/hls/7841929160346076357.m3u8
Fox News Channel (720p),http://192.168.88.16:8080/hls/-6507615657661206487.m3u8
NBC News NOW (1080p),http://192.168.88.16:8080/hls/-3471124746895755900.m3u8
NBC News NOW HD (720p),http://192.168.88.16:8080/hls/-7548687714913470600.m3u8
Newsmax 2 (1080p),http://192.168.88.16:8080/hls/359250879579064115.m3u8
